area_num,community,white_nh,hispanic,black_nh,asian_nh,other_multiple_nh,category_total
1,Rogers Park,24150,12245,11729,3389,2660,54173
2,West Ridge,30859,16129,9180,17104,5101,78373
3,Uptown,29284,7971,10713,5831,2545,56344
4,Lincoln Square,25958,7405,1732,3814,2742,41651
5,North Center,26413,4267,846,2239,2249,36014
6,Lake View,74953,10539,4603,7480,5252,102827
7,Lincoln Park,52142,5387,1680,5513,3265,67987
8,Near North Side,69049,8884,8520,15939,4939,107331
9,Edison Park,9181,1724,70,187,396,11558
10,Norwood Park,28146,7183,379,2775,1356,39839
11,Jefferson Park,14939,7175,750,3164,621,26649
12,Forest Glen,13949,2145,281,2602,924,19901
13,North Park,8220,3024,1022,5404,686,18356
14,Albany Park,15585,19570,1598,6869,1916,45538
15,Portage Park,29354,25779,1474,3716,2708,63031
16,Irving Park,24496,19938,1980,4637,2281,53332
17,Dunning,21360,15134,1048,2516,1175,41233
18,Montclare,4195,8675,1041,330,39,14280
19,Belmont Cragin,9357,56335,2829,2434,1133,72088
20,Hermosa,2211,19159,671,293,242,22576
21,Avondale,13468,17652,1123,1498,1792,35533
22,Logan Square,37340,23480,4120,3365,2887,71192
23,Humboldt Park,6777,30190,16932,1256,998,56153
24,West Town,54160,17452,5355,5812,5385,88164
25,Austin,5452,21212,67261,830,2697,97452
26,West Garfield Park,176,1257,13447,107,109,15096
27,East Garfield Park,1581,2197,16382,151,420,20731
28,Near West Side,28578,7888,16540,11691,3468,68165
29,North Lawndale,1435,5105,26663,128,627,33958
30,South Lawndale,4295,56416,8292,666,215,69884
31,Lower West Side,7225,22821,791,1504,1105,33446
32,The Loop,21242,4488,4661,10327,1832,42550
33,Near South Side,13084,2411,7941,5576,1470,30482
34,Armour Square,1831,650,1630,9220,554,13885
35,Douglas,2212,1651,13520,2721,984,21088
36,Oakland,365,421,5801,0,350,6937
37,Fuller Park,58,196,1812,40,238,2344
38,Grand Boulevard,1426,1158,21151,131,1315,25181
39,Kenwood,3752,641,11596,1042,1386,18417
40,Washington Park,241,357,11318,11,386,12313
41,Hyde Park,12453,2469,7941,5160,2576,30599
42,Woodlawn,2506,992,18065,998,1240,23801
43,South Shore,1911,1655,48243,213,1566,53588
44,Chatham,375,1279,27570,127,591,29942
45,Avalon Park,1,501,7977,7,538,9024
46,South Chicago,1281,6496,18991,88,695,27551
47,Burnside,0,111,2116,0,77,2304
48,Calumet Heights,30,628,10365,32,174,11229
49,Roseland,720,1154,33635,173,953,36635
50,Pullman,839,521,5199,97,88,6744
51,South Deering,760,3959,7990,15,130,12854
52,East Side,3037,18856,535,21,164,22613
53,West Pullman,206,2109,21739,60,435,24549
54,Riverdale,35,92,7128,0,263,7518
55,Hegewisch,3185,4713,860,113,56,8927
56,Garfield Ridge,12054,21701,1357,699,921,36732
57,Archer Heights,1727,10659,211,787,30,13414
58,Brighton Park,2772,33872,933,5090,327,42994
59,McKinley Park,2008,8461,482,3534,369,14854
60,Bridgeport,10797,8152,950,12694,1045,33638
61,New City,3578,27030,7919,1284,255,40066
62,West Elsdon,2370,14882,238,410,1,17901
63,Gage Park,1292,32047,2253,267,222,36081
64,Clearing,7142,15740,221,190,336,23629
65,West Lawn,2732,28100,637,365,108,31942
66,Chicago Lawn,1720,33204,18050,229,1206,54409
67,West Englewood,149,7734,19146,137,978,28144
68,Englewood,243,2204,19897,140,711,23195
69,Greater Grand Crossing,427,2109,25673,212,722,29143
70,Ashburn,3435,19542,17909,419,702,42007
71,Auburn Gresham,231,1989,40597,231,731,43779
72,Beverly,11197,1293,6055,145,831,19521
73,Washington Heights,350,915,23100,70,416,24851
74,Mount Greenwood,15698,1782,668,134,777,19059
75,Morgan Park,5982,1187,12760,265,678,20872
76,O'Hare,8915,1648,881,2066,885,14395
77,Edgewater,29273,9267,6965,7660,3398,56563
